          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   01.01.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |15004     |АП 3х25 А        |      4.00|   3.23|   8.65|   6.00|       12.90|       34.60|       24.00|
 |15004     |АП 3х25 А        |     10.00|   3.30|   8.65|   6.00|       33.00|       86.50|       60.00|
 |15005     |АП 63 А          |     15.00|   1.20|   2.78|   2.00|       18.00|       41.70|       30.00|
 |15005     |АП 63 А          |      1.00|   2.00|   2.78|   2.00|        2.00|        2.78|        2.00|
 |15008     |АТ - 12          |      2.00|   7.10|  10.78|   7.48|       14.20|       21.56|       14.96|
 |15010     |АТ - 8           |      2.00|   6.40|   7.80|   5.40|       12.80|       15.60|       10.80|
 |15013     |Бутон звънец бял |     14.00|   0.70|   1.20|   0.80|        9.80|       16.80|       11.20|
 |15012     |Бутон звънец     |      2.00|   0.62|   1.10|   0.72|        1.24|        2.20|        1.44|
 |          |черен            |          |       |       |       |            |            |            |
 |15012     |Бутон звънец     |      5.00|   0.65|   1.10|   0.72|        3.25|        5.50|        3.60|
 |          |черен            |          |       |       |       |            |            |            |
 |15107     |Гайка сплитер    |      2.00|   0.12|   0.20|   0.12|        0.24|        0.40|        0.24|
 |15019     |Изолационна      |      3.00|   0.65|   0.90|   0.58|        1.95|        2.70|        1.74|
 |          |лента 10 м       |          |       |       |       |            |            |            |
 |15026     |Капачка 25 А     |      4.00|   0.50|   0.98|   0.67|        2.00|        3.92|        2.68|
 |15026     |Капачка 25 А     |      3.00|   0.51|   0.98|   0.67|        1.53|        2.94|        2.01|
 |15027     |Капачка 63 А     |     18.00|   0.10|   1.35|   0.92|        1.80|       24.30|       16.56|
 |15018     |Ключ светещ Н.К. |      3.00|   1.50|   2.24|   1.52|        4.50|        6.72|        4.56|
 |          |/калпазанче/     |          |       |       |       |            |            |            |
 |15037     |Ключ светещ дв.  |     10.00|   5.20|   7.75|   5.36|       52.00|       77.50|       53.60|
 |          |Н. Киров         |          |       |       |       |            |            |            |
 |15041     |Ключ стълбищен   |      9.00|   1.15|   1.72|   1.18|       10.35|       15.48|       10.62|
 |          |автомат          |          |       |       |       |            |            |            |
 |15036     |Ключ сх.1 Изгрев |      5.00|   0.90|   1.54|   1.05|        4.50|        7.70|        5.25|
 |15114     |Ключ сх.1        |      6.00|   2.10|   2.98|   2.20|       12.60|       17.88|       13.20|
 |          |влагозащитен IP  |          |       |       |       |            |            |            |
 |          |44               |          |       |       |       |            |            |            |
 |15046     |Ключ сх.5        |     26.00|   1.65|   2.98|   2.04|       42.90|       77.48|       53.04|
 |          |Дряново          |          |       |       |       |            |            |            |
 |          |влагозащитен     |          |       |       |       |            |            |            |
 |15023     |Ключ сх.5 Изгрев |     15.00|   1.15|   1.88|   1.30|       17.25|       28.20|       19.50|
 |15022     |Ключ сх.5 Русе   |      7.00|   0.80|   1.25|   0.85|        5.60|        8.75|        5.95|
 |15115     |Ключ сх.5        |     10.00|   2.35|   3.45|   2.50|       23.50|       34.50|       25.00|
 |          |влагозащитен IP  |          |       |       |       |            |            |            |
 |          |44               |          |       |       |       |            |            |            |
 |15021     |Ключ сх.6 Изгрев |     33.00|   1.00|   1.65|   1.15|       33.00|       54.45|       37.95|
 |15116     |Ключ сх.6        |     10.00|   2.20|   3.45|   2.40|       22.00|       34.50|       24.00|
 |          |влагозащитен IP  |          |       |       |       |            |            |            |
 |          |44               |          |       |       |       |            |            |            |
 |15072     |Контакт - 115    |     26.00|   0.90|   1.75|   1.20|       23.40|       45.50|       31.20|
 |15117     |Контакт          |     18.00|   1.80|   2.60|   1.90|       32.40|       46.80|       34.20|
 |          |ед.влагозащитен  |          |       |       |       |            |            |            |
 |          |IP 44            |          |       |       |       |            |            |            |
 |15084     |Контакт          |     20.00|   1.75|   2.96|   1.95|       35.00|       59.20|       39.00|
 |          |ед.открит Мадара |          |       |       |       |            |            |            |
 |15075     |Контакт трифазен |     30.00|   2.20|   3.45|   2.40|       66.00|      103.50|       72.00|
 |          |2х16 А / 250 V   |          |       |       |       |            |            |            |
 |15077     |Контакт трифазен |      6.00|   2.60|   4.35|   3.02|       15.60|       26.10|       18.12|
 |          |3х16 А / 380 V   |          |       |       |       |            |            |            |
 |15078     |Контакт трифазен |     44.00|   2.25|   4.85|   3.36|       99.00|      213.40|      147.84|
 |          |3х25 А / 380 V   |          |       |       |       |            |            |            |
 |15108     |Крушка 40 W опал |      3.00|   0.58|   0.85|   0.00|        1.74|        2.55|        0.00|
 |15080     |Крушки 25 - 100 W|      3.00|   0.32|   0.55|   0.00|        0.96|        1.65|        0.00|
 |15118     |Кутия            |     27.00|   1.49|   2.10|   1.60|       40.23|       56.70|       43.20|
 |          |разкл.влагозащите|          |       |       |       |            |            |            |
 |          |на               |          |       |       |       |            |            |            |
 |15052     |Основа 25 А      |      7.00|   1.30|   1.94|   1.33|        9.10|       13.58|        9.31|
 |          |порцелан         |          |       |       |       |            |            |            |
 |15056     |Основа 63 А      |     20.00|   2.45|   3.76|   2.58|       49.00|       75.20|       51.60|
 |          |бакелит заден    |          |       |       |       |            |            |            |
 |          |монтаж           |          |       |       |       |            |            |            |
 |15056     |Основа 63 А      |      3.00|   2.50|   3.76|   2.58|        7.50|       11.28|        7.74|
 |          |бакелит заден    |          |       |       |       |            |            |            |
 |          |монтаж           |          |       |       |       |            |            |            |
 |15054     |Основа 63 А      |     29.00|   3.10|   4.59|   3.18|       89.90|      133.11|       92.22|
 |          |бакелит преден   |          |       |       |       |            |            |            |
 |          |монтаж           |          |       |       |       |            |            |            |
 |15054     |Основа 63 А      |      1.00|   3.18|   4.59|   3.18|        3.18|        4.59|        3.18|
 |          |бакелит преден   |          |       |       |       |            |            |            |
 |          |монтаж           |          |       |       |       |            |            |            |

 |15055     |Основа 63 А      |     30.00|   2.05|   2.98|   2.08|       61.50|       89.40|       62.40|
 |          |порцелан         |          |       |       |       |            |            |            |
 |15120     |Основа наклонена |      6.00|   1.50|   2.30|   1.75|        9.00|       13.80|       10.50|
 |15120     |Основа наклонена |      6.00|   1.60|   2.30|   1.75|        9.60|       13.80|       10.50|
 |15085     |Панцер 25 А      |      9.00|   2.55|   4.26|   2.95|       22.95|       38.34|       26.55|
 |15087     |Патрон 16 А      |     36.00|   0.15|   0.30|   0.20|        5.40|       10.80|        7.20|
 |15089     |Патрон 35 А      |     59.00|   0.30|   0.50|   0.34|       17.70|       29.50|       20.06|
 |15089     |Патрон 35 А      |      3.00|   0.34|   0.50|   0.34|        1.02|        1.50|        1.02|
 |15090     |Патрон 50 А      |     86.00|   0.30|   0.50|   0.35|       25.80|       43.00|       30.10|
 |15098     |Разклонител      |      2.00|   1.55|   2.95|   2.10|        3.10|        5.90|        4.20|
 |          |троен без шнур   |          |       |       |       |            |            |            |
 |          |черен            |          |       |       |       |            |            |            |
 |15099     |Разклонител      |      1.00|   4.10|   8.69|   5.75|        4.10|        8.69|        5.75|
 |          |троен с шнур     |          |       |       |       |            |            |            |
 |          |черен            |          |       |       |       |            |            |            |
 |15099     |Разклонител      |      2.00|   4.65|   8.69|   5.75|        9.30|       17.38|       11.50|
 |          |троен с шнур     |          |       |       |       |            |            |            |
 |          |черен            |          |       |       |       |            |            |            |
 |15121     |Скоба антигронова|    883.00|   0.09|   0.17|   0.12|       79.47|      150.11|      105.96|
