                        С П Р А В К А    Т Е К У Щ И    Н А Л И Ч Н О С Т И                         
                                       Към дата : 20.03.2013        

 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : РЧ УРЕДИ ROTEL                
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Катал. Nо | Артикул                           | Количество |Цена прид.|Прод.ц+ДДС|Прод.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |520511200 |Филтър две дози                    |        1.00|      2.20|      2.50|      3.60|        2.20|        2.50|        3.60|
 |2120000010|ТО фритьоза                        |        1.00|      0.08|      0.00|      9.86|        0.08|        0.00|        9.86|
 |2120000010|ТО фритьоза                        |        3.00|      2.00|      0.00|      9.86|        6.00|        0.00|       29.58|
 |2202000100|Филтър кафе                        |       75.00|      1.37|      1.50|      1.90|      102.75|      112.50|      142.50|
 |2217000008|Нож                                |       16.00|      0.38|      0.50|      0.85|        6.08|        8.00|       13.60|
 |2224000001|Бункер кафе                        |        1.00|      0.05|      0.15|      0.45|        0.05|        0.15|        0.45|
 |2245000010|Уплътнител за глава                |        7.00|      2.79|      0.00|      4.40|       19.51|        0.00|       30.80|
 |2245000016|Нипел                              |        2.00|      0.15|      0.25|      0.55|        0.30|        0.50|        1.10|
 |2245000028|Термостат 95 С                     |        7.00|      3.82|      4.50|      5.60|       26.72|       31.50|       39.20|
 |2245000048|Копче                              |        3.00|      0.02|      0.10|      0.25|        0.06|        0.30|        0.75|
 |2245000056|Уплътнител за пароструйник         |       45.00|      0.75|      0.95|      1.30|       33.87|       42.75|       58.50|
 |2248000003|Филтър една доза                   |        1.00|      1.00|      1.20|      3.60|        1.00|        1.20|        3.60|
 |2248000022|Уплътнител за бойлер               |        3.00|      1.46|      1.60|      1.90|        4.39|        4.80|        5.70|
 |2248000023|Уплътнител за глава                |        2.00|      5.99|      6.50|      9.25|       11.98|       13.00|       18.50|
 |2248000028|Коляно                             |        5.00|      3.24|      3.50|      5.60|       16.21|       17.50|       28.00|
 |2248000029|Камък конусен                      |        1.00|      5.46|      5.90|      6.70|        5.46|        5.90|        6.70|
 |2248000030|Изхвъргач                          |        3.00|      0.55|      0.75|      1.25|        1.65|        2.25|        3.75|
 |2248000030|Изхвъргач                          |        6.00|      0.55|      0.75|      1.25|        3.31|        4.50|        7.50|
 |2248000033|Зъбно колело с ос                  |        4.00|      6.58|      7.00|      9.80|       26.33|       28.00|       39.20|
 |2248000034|Мотор                              |        1.00|      4.95|      7.50|     12.90|        4.95|        7.50|       12.90|
 |2248000042|Нож горен                          |        3.00|      8.95|      9.50|     14.90|       26.86|       28.50|       44.70|
 |2248000043|Бойлер кпл.                        |        4.00|     11.33|     13.50|     18.90|       45.32|       54.00|       75.60|
 |2248000044|Крем шайба                         |        7.00|      8.13|     11.75|     12.50|       56.91|       82.25|       87.50|
 |2249000023|Копче за паровентил                |        3.00|      0.28|      0.40|      0.65|        0.84|        1.20|        1.95|
 |2249000041|Вентил                             |        1.00|      6.55|      7.50|     11.80|        6.55|        7.50|       11.80|
 |2249000061|Уплътнител за бойлер               |        9.00|      1.14|      0.00|      1.90|       10.22|        0.00|       17.10|
 |2249000168|Платка                             |        2.00|     17.34|      0.00|     21.80|       34.68|        0.00|       43.60|
 |2249000181|Бойлер кпл.                        |        5.00|     26.07|     37.50|     51.50|      130.38|      187.50|      257.50|
 |2250000009|Бойлер кпл.                        |        8.00|     26.72|     28.50|     37.90|      213.76|      228.00|      303.20|
 |2250000021|Уплътнител за бойлер               |        6.00|      1.82|      2.40|      3.60|       10.92|       14.40|       21.60|
 |2250000023|Свързващо тяло                     |        2.00|      0.34|      0.50|      0.80|        0.68|        1.00|        1.60|
 |2250000023|Свързващо тяло                     |        9.00|      0.34|      0.50|      0.80|        3.03|        4.50|        7.20|
 |2250000025|Термостат 130 С                    |        5.00|      0.03|      0.15|      0.45|        0.15|        0.75|        2.25|
 |2251000021|Уплътнител за бойлер               |       10.00|      1.96|      0.00|      2.40|       19.60|        0.00|       24.00|
 |2253000013|Филтър носач                       |        1.00|      1.45|      0.00|     13.00|        1.45|        0.00|       13.00|
 |2253000063|Уплътнител за бойлер               |        4.00|      2.63|      0.00|      3.00|       10.54|        0.00|       12.00|
 |2261002053|Уплътнител за паровентил           |       12.00|      0.19|      0.25|      9.80|        2.25|        3.00|      117.60|
 |2261002053|Уплътнител за паровентил           |       62.00|      0.18|      0.25|      9.80|       11.16|       15.50|      607.60|
 |2307000001|Пасирка                            |        2.00|      0.52|      1.50|      2.30|        1.04|        3.00|        4.60|
 |2307000001|Пасирка                            |        8.00|      0.73|      1.50|      2.30|        5.84|       12.00|       18.40|
 |2309000008|Куплунг U31.3                      |        3.00|      0.40|      0.60|      0.60|        1.20|        1.80|        1.80|
 |2309000058|Кана U31.4                         |        2.00|      0.05|      2.00|      3.20|        0.10|        4.00|        6.40|
 |2310000018|Ротор                              |        1.00|      0.59|      0.80|      1.45|        0.59|        0.80|        1.45|
 |2373000001|Пасирка                            |        5.00|      0.95|      1.50|      7.98|        4.75|        7.50|       39.90|
 |2373000008|Зъбно колело                       |        1.00|      0.50|      0.75|      0.70|        0.50|        0.75|        0.70|
 |2402000022|Ключ за U40.8                      |        1.00|      1.00|      0.00|      2.40|        1.00|        0.00|        2.40|
 |2404000005|Нож                                |        2.00|      0.10|      0.00|     19.80|        0.20|        0.00|       39.60|
 |2404000008|Зъбно колело                       |        2.00|      0.42|      1.70|      2.70|        0.84|        3.40|        5.40|
 |2404000008|Зъбно колело                       |        4.00|      0.42|      1.70|      2.70|        1.67|        6.80|       10.80|
 |2404000020|Зъбно колело                       |        2.00|      0.18|      1.60|      2.60|        0.36|        3.20|        5.20|
